"","Date Collected","Exposition","Forest Age (yrs)","Species","Species Common","Diameter at Breast Height (cm)","Longitude E","Latitude N","Leaf Position","N Leaves","Total Fresh Leaf Area (cm2)","Total Dry Mass (g)","Area per Leaf (cm2)","Mass per Leaf (g)","Specific Leaf Area (cm2/g)"
"139","6/24/19","Natural Forest",60,"Acer rubrum","Red maple",22.5,-76.55144,38.87449,"Low/Shade",6,255.38,1.748,42.563,0.291,146.098
"140","6/24/19","Natural Forest",60,"Nyssa sylvatica","Black gum",17,-76.55144,38.87449,"Low/Shade",6,315.85,1.282,52.642,0.214,246.373
"141","6/24/19","Natural Forest",60,"Nyssa sylvatica","Black gum",12,-76.55144,38.87449,"Low/Shade",6,370.67,1.285,61.778,0.214,288.459
"142","6/24/19","Natural Forest",60,"Nyssa sylvatica","Black gum",12,-76.55144,38.87449,"High/Sun",6,347.43,1.285,57.905,0.214,270.374
"143","6/24/19","Natural Forest",60,"Nyssa sylvatica","Black gum",18.8,-76.55144,38.87449,"Low/Shade",6,163.9,0.759,27.317,0.126,215.942
"144","6/24/19","Natural Forest",60,"Nyssa sylvatica","Black gum",19.6,-76.55144,38.87449,"Low/Shade",6,178.98,0.817,29.83,0.136,219.07
"145","6/24/19","Natural Forest",60,"Nyssa sylvatica","Black gum",19.6,-76.55144,38.87449,"High/Sun",6,100.31,0.678,16.718,0.113,147.95
"146","6/24/19","Natural Forest",60,"Nyssa sylvatica","Black gum",21.1,-76.55144,38.87449,"Low/Shade",6,103.1,0.678,17.183,0.113,152.065
"147","6/24/19","Natural Forest",60,"Nyssa sylvatica","Black gum",21.1,-76.55144,38.87449,"High/Sun",6,111.44,0.913,18.573,0.152,122.059
"148","6/24/19","Natural Forest",60,"Nyssa sylvatica","Black gum",39.8,-76.55144,38.87449,"Low/Shade",6,348.92,1.384,58.153,0.231,252.11
