Date,Tag,No_Tag_Plot,No_Tag_Species_code,No_Tag_DBH,Position,n_Leaves,Leaf_Area_cm2,Leaf_Mass_g,Notes
9/13/2019,406,,,,,5,251.03,,MSLE
9/13/2019,410,,,,,6,231.93,,MSLE
9/13/2019,432,,,,,6,261.35,,MSLE
9/13/2019,,MSLE,NYSY,20,,6,277.82,,MSLE
9/13/2019,,MSLE,LIST,15,,6,298.59,,MSLE
9/13/2019,,MSLE,LIST,25,,6,347.7,,MSLE
9/13/2019,709,,,,,6,571.05,,
9/13/2019,963,,,,,6,475.49,,
9/13/2019,970,,,,,6,445.56,,
9/13/2019,975,,,,,6,175.42,,
9/13/2019,719,,,,,6,148.62,,
9/13/2019,718,,,,,6,174.07,,
9/13/2019,962,,,,,6,142.11,,
9/13/2019,965,,,,,6,376.32,,
9/13/2019,973,,,,,6,332.26,,
9/13/2019,968,,,,,6,244.66,,
